,10000,20000,40000,80000
seleccio temps,0.11,0.44,1.73,6.92
bombolla temps,0.22,0.97,4.07,16.75
sacsejada temps,0.16,0.69,2.95,11.91
insercio lineal temps,0.06,0.25,0.98,3.93
insercio binaria temps,0.05,0.18,0.74,2.94
n,10000,20000,40000,80000
seleccio temps,0.000011,0.000022,0.00004325,0.0000865
bombolla temps,0.000022,0.0000485,0.00010175,0.000209375
sacsejada temps,0.000016,0.0000345,0.00007375,0.000148875
insercio lineal temps,0.000006,0.0000125,0.0000245,0.000049125
insercio binaria temps,0.000005,0.000009,0.0000185,0.00003675
n^2,10000,20000,40000,80000
seleccio temps,1.1E-09,1.1E-09,1.08125E-09,1.08125E-09
bombolla temps,2.2E-09,2.425E-09,2.54375E-09,2.61719E-09
sacsejada temps,1.6E-09,1.725E-09,1.84375E-09,1.86094E-09
insercio lineal temps,6E-10,6.25E-10,6.125E-10,6.14063E-10
insercio binaria temps,5E-10,4.5E-10,4.625E-10,4.59375E-10
