kepoi_name,koi_period,koi_prad,koi_srad,koi_teq,koi_insol
K00752.01,9.48803557,2.26,0.927,793.0,93.59
K00752.02,54.4183827,2.83,0.927,443.0,9.11
K00753.01,19.89913995,14.6,0.868,638.0,39.3
K00754.01,1.736952453,33.46,0.791,1395.0,891.96
K00755.01,2.525591777,2.75,1.046,1406.0,926.16
K00756.01,11.09432054,3.9,0.972,835.0,114.81
K00756.02,4.13443512,2.77,0.972,1160.0,427.65
K00756.03,2.56658897,1.59,0.972,1360.0,807.74
K00114.01,7.36178958,39.21,1.958,1342.0,767.22
K00757.01,16.06864674,5.76,0.848,600.0,30.75
K00001.01,2.470613377,13.04,0.964,1339.0,761.46
K00002.01,2.204735417,16.1,1.952,2048.0,4148.92
K00010.01,3.522498429,14.59,1.451,1521.0,1264.67
K00112.02,3.709214104,1.16,1.022,1206.0,500.46
K00742.01,11.521446064,150.51,0.848,753.0,75.88
K00743.01,19.40393776,7.18,0.68,523.0,17.69
K00744.01,19.221388942,49.29,0.947,698.0,55.97
K00745.01,16.46983774,7.94,0.786,595.0,29.61
K00746.01,9.27358173,2.47,0.696,649.0,41.85
K00747.01,6.02930329,2.85,0.672,678.0,50.04
K00748.01,2.696370652,1.58,0.819,1066.0,305.34
K00749.01,5.349553819,2.55,0.91,919.0,168.99
K00749.02,3.94105221,1.7,0.91,1018.0,253.15
K00749.03,8.10904807,1.3,0.91,800.0,97.03
K00113.01,386.6030528,41.5,1.58,297.0,1.84
K00750.01,21.67699193,2.95,0.828,530.0,18.64
K00751.01,4.99677968,2.78,0.847,917.0,166.95
K00769.01,4.280963604,2.3,0.831,1012.0,247.87
K00770.01,1.50635409,4.53,0.831,1452.0,1054.12
K00771.01,670.645531,14.14,0.983,196.0,0.35
K00772.01,61.2563628,39.87,1.091,505.0,15.43
K00773.01,38.3775486,2.82,1.036,529.0,18.53
K00757.02,41.19725502,3.86,0.848,439.0,8.76
K00757.03,6.252962249,2.65,0.848,823.0,108.3
K00758.01,16.01308419,3.1,0.826,593.0,29.31
K00759.01,32.62876672,3.36,0.798,506.0,15.55
K00759.02,91.7732862,2.12,0.798,359.0,3.92
K00760.01,4.959319244,12.21,1.082,1103.0,349.4
K00761.01,2.701287801,6.54,0.91,1222.0,527.81
K00762.01,4.49876511,2.1,0.969,1133.0,389.62
K00763.01,19.651209505,12.42,1.063,730.0,67.03
K00115.01,5.412203927,2.94,1.087,1093.0,337.68
K00764.01,41.43958662,5.5,1.046,516.0,16.72
